region_id,year,ecozone,ecosystem,x,y,area_km2,protection_status,indigenous_stewardship_context,carbon_density,biomass_carbon_density,soil_peat_carbon_density,agriculture_pressure,urban_pressure,resource_pressure,degradation,hydrology_integrity,restoration_readiness,monitoring_quality,sar_overlap,connectivity,flood_exposure,heat_exposure,community_vulnerability,temp_anomaly,drought_index,wetness_index,wildfire_risk,pest_risk,conversion_probability_true,converted_observed,true_baseline_ghg,mechanistic_baseline_ghg
0,2023,Hudson Plains,peatland,61.03353887901798,68.87522127599198,19.021188874030564,0,0,319.9623782950654,26.498198680715724,293.46417961434963,0.34971643547693043,0.2773054697471464,0.35165620485324467,0.33028202352336133,0.6360717144887214,0.3995853673331956,0.31669260188959397,0.040137207804023245,0.33355934536797716,0.15721890714267966,0.2797515424054402,0.25251955811002413,-0.17764019067249368,0.04481414897209887,0.7130787822326398,0.017410050580000086,0.08589289234989436,0.23878870506227104,1,809.4999425014747,234.32392819687587
1,2023,Taiga Plains,wetland,62.35463696427459,53.27404273378781,14.395983783172731,0,0,240.6587358761273,113.24374394034712,127.4149919357802,0.23120039259651484,0.45268352688983027,0.3308745982229925,0.6013060440207372,0.5218192439148641,0.6497954319590352,0.4190663104663648,0.6350033288868252,0.5094232602390514,0.3999779696442587,0.30222899538642084,0.17607269204873865,0.41948885248093093,0.2914433736543003,0.7255305603510723,0.1061247948880881,0.12861750261902088,0.2819632440611204,0,144.7211695542816,205.03573333569923
2,2023,Mixedwood Plains,forest,13.507979221752409,38.78640250826205,14.983029235345093,0,0,399.5766027482469,265.9681841839766,133.60841856427032,0.4329003670540227,0.792258107677718,0.27179385638843534,0.4566032569834224,0.4386821063876494,0.3664047638967237,0.5005267126865591,0.42952485473963087,0.1448851202114776,0.19800900658160037,0.402423285708768,0.2270229644723282,0.09382284245696834,0.3915103274495563,0.52119978357833,0.5064701074592673,0.33776141064288767,0.331907764441825,0,70.36732222016211,251.89853211258009
3,2023,Pacific Maritime,forest,69.35404695867196,81.22969464702861,21.354237328392845,1,0,357.93709885201764,189.30932977805654,168.6277690739611,0.32354205193293556,0.3553861007740659,0.19480427835756517,0.2305818034531052,0.9127965919974727,0.3751194633902094,0.7486302895635862,0.24424863021102303,0.6448014542882785,0.1051598971616039,0.3865905287029232,0.3353258266681759,-0.198871206873565,0.27614997982963957,0.5323810421552141,0.3257695496997191,0.21595825526865817,0.060016208843023486,0,41.293295294654264,89.62903175034404
4,2023,Boreal Shield,riparian,67.47503563802233,70.95584039482209,9.973661243964987,0,1,137.64552070398486,76.79191602815261,60.853604675832244,0.28066372241158744,0.34348683211588965,0.33115036287320543,0.4755767798882326,0.5716272284206092,0.5843599593727358,0.38250356832159244,0.43851082822133475,0.6228493209608084,0.502803997912893,0.3065652769407176,0.5406294838624316,-0.5131612511987866,0.37277709436013085,0.5236809118922637,0.2325247114685658,0.0627681305569675,0.19973443228664126,1,160.40262565424482,37.075931279836496
5,2023,Montane Cordillera,wetland,68.25881222168832,46.840531961567336,15.213527863352343,0,0,224.6273208755664,117.53430809727773,107.09301277828867,0.3370908012239266,0.5693019804317985,0.5632015216889961,0.6186520963173646,0.28449441137743475,0.41545244504778367,0.4535829988910921,0.5246136881760526,0.3021672314793305,0.6396566308558279,0.4173367504066749,0.41206233859122643,0.1476544205545938,0.4695410411879986,0.526759703391249,0.15165256777306488,0.1057033474071657,0.4105037548426486,0,113.88289190527986,227.9337717049424
6,2023,Hudson Plains,peatland,7.407055273870633,89.24843372096598,12.531587953065108,1,1,539.7720801121918,100.90149004950342,438.8705900626884,0.35210536781865703,0.40784626998281603,0.39808517198328536,0.34922859193596534,0.7016692715192653,0.6880287831327924,0.813267841109441,0.30577450626902036,0.5808780873199499,0.13377678479760358,0.2721393682589569,0.5202705844649701,0.1740372984359116,0.47554425502603526,0.7481620516833621,0.09809064468191735,0.0689341372998381,0.14311760431754503,0,92.55092738525168,167.2268031038276
7,2023,Hudson Plains,forest,44.683884241415264,22.994801781863238,6.220922103844124,0,1,379.11058581995786,176.2806316702469,202.82995414971097,0.39848593399090204,0.3453795273099202,0.5448798874452611,0.7283214353732476,0.20664827479502446,0.7436897318521416,0.30971223233737744,0.3783696334208906,0.3681680296046821,0.10869122797964652,0.1617517958095228,0.5149274548867451,-0.05394421278838527,0.2901551625427828,0.47207451562554154,0.5307458259098949,0.235167743113948,0.2868929074337661,0,24.874903672085793,97.40769057371963
8,2023,Boreal Shield,forest,40.903513204572974,17.03915091586249,8.968777095558377,0,1,298.43530552517495,173.0134083452938,125.42189717988113,0.18804628225965733,0.40672917189065205,0.4730228617903633,0.30822098109260393,0.6951218243421435,0.581316136762329,0.37582086969471673,0.38706573491753427,0.30060781672447034,0.08892978526042147,0.2104053807993156,0.3773907889469712,0.15091887053890204,0.4572334984727623,0.48272968357628115,0.4415016578117747,0.33936472505056803,0.19431958040756087,1,431.52155364062656,71.1280375529592
9,2023,Taiga Plains,wetland,8.671148364319913,64.28037643335816,35.25169262673255,0,0,195.09328861745666,58.359134757161,136.73415386029566,0.3161394865765369,0.40127734869398,0.3497227029010825,0.5158242072805774,0.43551307900489744,0.4815544171470112,0.5641934288202217,0.5745799212558894,0.277409400044107,0.7161909709188943,0.21690109557004328,0.44747124748315326,-0.08706763211582869,0.18395021414267526,0.7813351178707358,0.004767282699608771,0.04623643376221337,0.2729322649721309,0,327.7698917667817,441.5654067587925
10,2023,Prairies,grassland,22.23679278968107,97.19943427017704,18.386152927667688,0,0,146.1955280239276,30.202761971128652,115.99276605279896,0.6629185837559581,0.30429081986163503,0.4642272981688688,0.7392252612826352,0.24748352230405696,0.6058153632887898,0.4433399901553564,0.4400812060122347,0.40688772993036876,0.2828745529463565,0.19831208947624054,0.2651266119094973,0.2668038187920404,0.68547998856445,0.5199146104387187,0.3559042035079337,0.23573457403042203,0.6541647053208953,1,445.7989141840986,200.4566656600668
